L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.46   	688.3   	906.5   	1.317   
5.772   	0.1766  	893.4   	2257    	6.587   
8.027   	0.1196  	1139    	5600    	13.59   
13.79   	0.05943 	1467    	1.047e+004	14.89   
17.84   	0.04502 	1869    	1.743e+004	17.3    
21.88   	0.02852 	2244    	2.408e+004	17.7    
25.94   	0.01908 	2592    	3.08e+004	19.31   
29.81   	0.01167 	2871    	3.641e+004	20.14   
33.99   	0.005746	3048    	4.008e+004	20.76   
36.28   	0.002959	3151    	4.223e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.46   	688.3   	906.5   	1.317   
5.772   	0.1766  	893.4   	2257    	6.587   
8.027   	0.1196  	1139    	5600    	13.59   
13.79   	0.05943 	1467    	1.047e+004	14.89   
17.84   	0.04502 	1869    	1.743e+004	17.3    
21.88   	0.02852 	2244    	2.408e+004	17.7    
25.94   	0.01908 	2592    	3.08e+004	19.31   
29.81   	0.01167 	2871    	3.641e+004	20.14   
33.99   	0.005746	3048    	4.008e+004	20.76   
36.28   	0.002959	3151    	4.223e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.46   	688.3   	906.5   	1.317   
5.772   	0.1766  	893.4   	2257    	6.587   
8.027   	0.1196  	1139    	5600    	13.59   
13.79   	0.05943 	1467    	1.047e+004	14.89   
17.84   	0.04502 	1869    	1.743e+004	17.3    
21.88   	0.02852 	2244    	2.408e+004	17.7    
25.94   	0.01908 	2592    	3.08e+004	19.31   
29.81   	0.01167 	2871    	3.641e+004	20.14   
33.99   	0.005746	3048    	4.008e+004	20.76   
36.28   	0.002959	3151    	4.223e+004	20.74   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.52   	690.7   	950.7   	1.376   
5.827   	0.1777  	900.3   	2395    	6.891   
8.08    	0.1211  	1152    	5864    	13.76   
13.8    	0.06281 	1499    	1.11e+004	15.12   
17.91   	0.04567 	1909    	1.822e+004	17.33   
21.86   	0.0309  	2315    	2.544e+004	17.8    
25.94   	0.0199  	2678    	3.244e+004	19.29   
29.81   	0.01217 	2969    	3.825e+004	20.01   
33.7    	0.006217	3157    	4.213e+004	20.61   
36.32   	0.00297 	3261    	4.43e+004	20.81   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.53   	691.3   	964.9   	1.396   
5.849   	0.1764  	900.8   	2404    	6.869   
8.113   	0.1318  	1177    	6333    	14.23   
13.79   	0.06425 	1531    	1.173e+004	15.25   
17.87   	0.04765 	1957    	1.917e+004	17.43   
21.86   	0.03108 	2366    	2.646e+004	17.86   
25.95   	0.0206  	2742    	3.376e+004	19.38   
29.8    	0.01241 	3038    	3.969e+004	20.04   
33.99   	0.006648	3243    	4.391e+004	20.63   
36.31   	0.003477	3364    	4.641e+004	20.56   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.56   	692.2   	981.1   	1.417   
5.797   	0.1835  	906.8   	2522    	7.184   
8.077   	0.1308  	1179    	6390    	14.22   
13.78   	0.06555 	1539    	1.193e+004	15.38   
17.88   	0.05066 	1993    	1.993e+004	17.59   
21.87   	0.03262 	2422    	2.763e+004	17.96   
26      	0.02168 	2820    	3.533e+004	19.38   
29.86   	0.0134  	3141    	4.177e+004	20.06   
33.75   	0.006782	3346    	4.602e+004	20.67   
36.39   	0.003417	3467    	4.85e+004	20.62   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1116  	17.61   	694.6   	1027    	1.478   
5.786   	0.1879  	913.6   	2661    	7.458   
8.024   	0.1356  	1192    	6654    	14.33   
13.81   	0.06978 	1578    	1.267e+004	15.62   
17.91   	0.05181 	2044    	2.089e+004	17.63   
21.87   	0.03466 	2499    	2.912e+004	18.06   
25.98   	0.02306 	2922    	3.731e+004	19.4    
